"","analysis","U_ppm","Th_ppm","Pb_ppm","Th_U","206Pb_cps","206Pb_204Pb","206Pb_204Pb_1s","208Pb_232Th","208Pb_232Th_2s","207Pb_235U","207Pb_235U_2s","206Pb_238U","206Pb_238U_2s","error_corr","238U_206Pb","238U_206Pb_2s","207Pb_206Pb","207Pb_206Pb_2s","208Pb_232Th_date","208Pb_232Th_date_2s","208Pb_232Th_date_2s_sys","207Pb_206Pb_date","207Pb_206Pb_date_2s","207Pb_206Pb_date_2s_sys","207Pb_235U_date","207Pb_235U_date_2s","207Pb_235U_date_2s_sys","206Pb_238U_date","206Pb_238U_date_2s","206Pb_238U_date_2s_sys","68_75_disc","68_75_disc_2s","68_76_disc","discordant"
"309","MF22-1 2    9/2/2022 6:31:53 PM    (Run: 1)",97.4396410461052,295.637336048163,4.79863107207349,3.03405608717583,1274.35828877005,42.604064939154,1.82931142405577,0.00716369471128608,8.66181012487447,0.1858460742413,18.4677376384553,0.0268719532146089,4.98293883393454,0.267099405842974,37.2135211762855,4.98293883393454,0.0501594634414573,17.7827909524935,144.27748324593,12.4525446653647,13.5064387385293,202.404435203626,412.777232732829,413.103731244342,173.078648039161,29.3879084542989,29.4453311804499,170.941129791876,8.40594809870664,8.54589985435937,1.23499823432988,17.4589353873665,15.5447707359264,"no"
"310","MF22-1 167    9/3/2022 3:25:01 PM    (Run: 1)",266.033820653987,179.663583090895,8.84308860624545,0.675341137638931,4784.55614973262,128.735539568345,2.24162271995353,0.00829563902957821,9.09852894559278,0.179929204732675,7.86396990833731,0.0269702169880692,2.97172743325411,0.372357451454579,37.0779367641858,2.97172743325411,0.04838557930888,7.28085563527253,166.981019487704,15.130231742782,15.9030309257427,118.143370641916,171.64992180215,172.068179783859,167.999635161176,12.1763595466088,12.2600264911745,171.557972694895,5.03099366694582,5.19747257561847,-2.11806265549668,7.98423905250735,-45.2116794727953,"no"
"311","MF22-1 266    9/3/2022 7:05:10 PM    (Run: 1)",107.024195139851,105.439432881715,3.84765558676884,0.985192486090965,1531.09625668449,47.5211618257261,1.35311744099,0.00834630436560965,12.6406034197946,0.182410611816358,18.4764443054993,0.0271142774862932,5.223840730524,0.281370272152224,36.880938483628,5.223840730524,0.0487922436405574,17.722598065643,167.99662387659,21.147778593477,21.5943009216983,137.858393592958,416.292026310091,416.465901425198,170.132757254795,28.9421032982209,28.9772257871575,172.46219415497,8.88970609450297,8.98152637441231,-1.36918776710746,18.0186472655125,-25.100974746727,"no"
"312","MF22-1 84    9/3/2022 12:09:28 PM    (Run: 1)",52.0232293882809,22.6573149369404,1.69435459053405,0.435523038522564,929.839572192513,29.2235294117647,0.758011374757923,0.0104632323168214,25.940809438457,0.224164544170727,13.8313006498059,0.0271161012976665,6.03051201848518,0.433002860718793,36.8784578956436,6.03051201848518,0.0599567936168864,12.4474014340435,210.38563897759,54.2926847095964,54.7308219983089,602.04177501099,269.401112360254,269.836118509248,205.369961483536,25.7169853533725,25.8109565665745,172.473640819982,10.2631364530355,10.3893358837444,16.018078021693,11.6434320667454,71.3518815506061,"no"
"313","MF22-1 132    9/3/2022 1:48:37 PM    (Run: 1)",89.944999641332,130.683466324428,4.1434708697101,1.45292641998495,1890.93582887701,33.1245901639344,0.900903011477753,0.0124660090517983,10.4581511910994,0.200996876598605,10.4246180898582,0.027199468045196,5.63480831044901,0.536264968050441,36.7654249097207,5.63480831044901,0.0535954132120278,8.77049585963602,250.40723692198,26.0264145905115,27.1699619359629,354.063404323953,198.11017638559,198.75421527645,185.969378511643,17.714850636839,17.8322371330982,172.996848249168,9.61840315388769,9.76034785910236,6.97562704478408,10.2601617104041,51.1395851317966,"no"
"314","MF22-1 161    9/3/2022 3:15:21 PM    (Run: 1)",469.637725128949,410.409306710432,17.6657302478622,0.873884879239089,10034.5240641711,2084.95111111111,37.0390897845493,0.0107233038577298,6.2618184105019,0.209156273346538,6.23054078632056,0.027264627795387,3.46402172555053,0.549986165500115,36.677559198853,3.46402172555053,0.0556378125723755,5.17882148513714,215.587142223433,13.4279354202908,14.8544238578214,437.953683089983,115.270456444383,115.824603501729,192.844414510497,10.9431944386329,11.0635382721056,173.405759496364,5.92674240411253,6.07311428370751,10.0799678660512,5.95668636047209,60.4054569714086,"no"
"315","MF22-1 180    9/3/2022 3:59:22 PM    (Run: 1)",202.08047705895,145.342536170345,7.08170121889286,0.719230963256019,4143.45454545455,712.496348698827,12.7792188986071,0.00968708015504726,6.33223118268364,0.194682789087912,8.51621168220361,0.0273258284412829,4.14816563336699,0.483421190437547,36.5954138279385,4.14816563336699,0.0516717234685918,7.43764635447628,194.854416351338,12.279347723411,13.4950982585586,270.890023479469,170.515890024606,170.914979577846,180.617049991163,14.0913081086445,14.1735261748202,173.789801688887,7.11278080115484,7.23360245088516,3.77995781827364,8.47709219542128,35.8448866234978,"no"
"316","MF22-1 7    9/2/2022 6:40:00 PM    (Run: 1)",171.516902931708,179.32595946995,6.11659192672881,1.04552937001988,2253.23529411765,89.7745316312605,2.02300835812242,0.00721025303939395,12.7965583578486,0.196143923824805,11.3600055994285,0.0273979366998529,4.06496651382947,0.352412507760346,36.4990988538699,4.06496651382947,0.0519225157039998,10.6078166679337,145.211812007137,18.515523316032,19.2451653698794,281.9563212047,242.714296911258,243.253442340955,181.858136705696,18.914718260374,19.0124801831821,174.242261244541,6.98802333535361,7.16281874366855,4.18781122424002,10.6804215145315,38.2023923067002,"no"
"317","MF22-1 392    9/4/2022 2:13:36 AM    (Run: 1)",566.299467978943,391.265191112136,20.4699703360996,0.690915696086588,9896.83957219251,9896.83957219251,120.094267206528,0.0115052592006733,3.82435402286877,0.176790681855142,5.26856230256495,0.0274111677388888,2.96924760177409,0.555302022699864,36.4814811804343,2.96924760177409,0.0467768054320751,4.35216238384637,231.218408811554,8.79222496976205,10.861160049549,37.8403559023051,104.157615765003,104.867160569228,165.295194260761,8.03678186456626,8.15322135885392,174.325278939472,5.10678853862049,5.26400835153164,-5.46300497064995,5.98650408226959,-360.68615049377,"no"
"318","MF22-1 274    9/3/2022 7:18:04 PM    (Run: 1)",223.004695235677,99.6556455171902,7.43388868940431,0.446876893833431,3448.81818181818,261.902158381805,6.26823114794277,0.0116057518377066,9.1425826110973,0.192788139458507,9.0915513587276,0.0274283925477209,5.49636821790582,0.601929925585242,36.4585711051118,5.49636821790582,0.0509775173387742,7.24197780454873,233.226377639502,21.2003643453068,22.0383132323782,239.805161643401,166.963978724781,167.381504100626,179.005473903342,14.9205525730291,14.9952461267399,174.433353802431,9.45894757453205,9.54730179779086,2.55417893163395,9.68994436504857,27.2603839687904,"no"
