"","Timestamp","Comment","X","Y","U ppm","Th ppm","207Pb/235U...7","2s...8","206Pb/238U...9","2s...10","rho...11","238U/206Pb","2s...13","207Pb/206Pb...14","2s...15","rho...16","208Pb/232Th","2s...18","206Pb/238U...19","2s...20","207Pb/235U...21","2s...22","207Pb/206Pb...23","2s...24","Best Age","2s...26","Concordance","6/8 - 7/6","6/8 - 7/5","U238_CPS","U238_CPS_Int2SE","Th232_CPS","Th232_CPS_Int2SE","Pb208_CPS","Pb208_CPS_Int2SE","Pb207_CPS","Pb207_CPS_Int2SE","Pb206_CPS","Pb206_CPS_Int2SE","Pb204_CPS","Pb204_CPS_Int2SE","206Pb/204Pb","2s","discordant"
"160","45032.674074236114","MF22-18-126",43040,14278,80.7,35,0.126153656724537,0.00838212407448136,0.0186927063210899,0.000703194681436087,0.82431,53.4968015236916,1.92152351476909,0.0489470346335979,0.00178739587109292,0,0.00577,0.000321429867933893,119.388524076908,4.4912370479317,120.635612,7.557643,145.294657912393,85.6579927705183,119.307684086518,4.26758900822029,0.989662353523778,17.8300662995507,1.03376432747913,8.24,0.24,1.367,0.047,1000.431,54.648,336.582,16.767,7762.5,235.98,16.3944,5.8995,473.484848484849,170.989724375559,"no"
"161","45032.715679918983","MF22-18-211",44875,13696,405,87.6,0.126014734253299,0.00604732965861793,0.0188568357276909,0.000858219668849415,0.94694,53.0311667578204,2.38990206755549,0.0484675687998922,0.0010882968161306,-0.17498778010081,0.0062,0.000270140704078449,120.427071719425,5.48092389964334,120.510347,5.453176,122.154313792121,52.896886004825,120.421671736579,5.39588440414856,0.999308979251995,1.41398368921783,0.0691021830477312,41.1,1.3,3.43,0.14,2670.3,93.15,1711.476,49.68,38626.2,1179.9,11.799,6.831,3273.68421052632,1897.92714274533,"no"
"162","45032.653938356481","MF22-18-84",46120,14600,105.1,78.6,0.137060096931102,0.00863998171294361,0.0195009016853082,0.000762066165106416,0.57226,51.2796800956846,1.92629677098316,0.0509747456085757,0.00223696311994633,-0.371174911329196,0.00647,0.000263902178846632,124.500857184427,4.86530788771057,130.421962,7.715415,239.688048375137,101.175886027375,124.114400820484,4.64599367092354,0.954600402209104,48.0571275754348,4.53995993065389,10.61,0.28,3.028,0.089,2471.58,93.15,489.348,22.977,10470.06,260.82,20.7414,5.4027,504.790419161677,132.087256881237,"no"
"163","45032.73913559028","MF22-18-261",42979,13418,103.8,69.4,0.139264840029443,0.00790004784795637,0.0200106163149791,0.0011732280255773,0.79668,49.973473293346,2.81917525450562,0.0504753971853312,0.00178957425104409,0.298461885675984,0.00641,0.000372740177603649,127.723032354267,7.48843707315359,132.388869,7.04101,216.94473178389,82.0799857294482,127.41782604623,7.14698498216594,0.964756582094942,41.1264651120922,3.52434209988863,10.8,0.41,2.795,0.095,2272.86,74.52,499.905,20.493,10929.6,422.28,20.6793,5.5269,528.528528528529,142.726739670455,"no"
"164","45032.655993113425","MF22-18-89",46868,14580,154,88.1,0.207863302377533,0.0342511255289516,0.0200346700841168,0.000809621047157249,0.63231,49.913474781538,1.95695111697396,0.0752478945548897,0.0110991170820025,-0.361399536200052,0.0088,0.00101536988334301,127.875049135014,5.16755857477544,191.758068,28.793004,1075.1306004444,296.170699678368,123.570468744182,5.14423120600796,0.666856162920389,88.1060915685817,33.3143838646651,15.56,0.45,3.38,0.12,3788.1,621,1080.54,186.3,15773.4,540.27,37.881,10.557,416.393442622951,116.917236589885,"yes"
"165","45032.716905868052","MF22-18-214",45465,13705,55.4,16.53,0.139399483322268,0.0101817800015518,0.0202304236264519,0.000919215513359082,0.52838,49.4305022210444,2.13080774901464,0.0499752427471264,0.00305226211194255,0.0487867496552384,0.00689,0.00068402400542671,129.112053502015,5.86650110408564,132.508864,9.073558,193.841819732053,141.992411225396,128.889725000366,5.5417688770409,0.974365410090032,33.3930863420047,2.56345907394127,5.63,0.16,0.647,0.035,557.658,32.292,257.094,14.904,5837.4,161.46,18.63,9.936,313.333333333333,167.335694243342,"no"
"166","45032.676113090274","MF22-18-131",43664,14255,120.6,49,0.138299303057606,0.00544440116082568,0.0203217970968354,0.000656631525286443,0.51006,49.2082464574812,1.53539657475357,0.0493578922958847,0.00204662551533005,0.441137805396715,0.00689,0.000294259817168434,129.689378825779,4.1904824768221,131.527958,4.856502,164.866782169195,96.9144217968984,129.569071491895,4.0299442067482,0.986021383983309,21.3368653652223,1.39786187072153,12.3,0.39,1.915,0.047,1664.28,68.31,562.626,22.977,12817.44,366.39,13.041,6.831,982.857142857143,515.59596706989,"no"
"167","45032.740772337966","MF22-18-265",43760,13439,102.1,55.7,0.145512700903467,0.0086001220921566,0.0208590965087689,0.00102259231368126,0.71865,47.9407149576019,2.26243484407915,0.0505945961468225,0.00178522379549456,-0.0989031689032554,0.00662,0.000337090136313717,133.083154105547,6.52424281231842,137.942134,7.623153,222.402712800827,81.6064587556136,132.763773472691,6.23012827984528,0.964775231559795,40.1611821953223,3.52247696447313,10.53,0.42,2.23,0.072,1858.032,57.753,495.558,22.977,11159.37,403.65,19.251,6.831,579.677419354839,206.757925915608,"no"
"168","45032.641714259262","MF22-18-60",41138,14856,37.4,12.64,0.148549944478639,0.0143053696212296,0.0210736929144777,0.000570616648898365,0.042822,47.4525278534829,1.20955279712305,0.0511246763708005,0.00489822171813404,0.266987713989524,0.007,0.000386264158316559,134.438122619153,3.64020825986445,140.630785,12.646755,246.455183472966,220.6220586703,134.030321314324,3.49338705945546,0.955965099180942,45.4512902813829,4.40348987659184,3.83,0.15,0.487,0.027,437.805,26.703,188.784,20.493,4123.44,149.04,24.84,6.831,166,46.0426161289734,"no"
"169","45032.690825138889","MF22-18-161",37822,14490,191.6,148.9,0.149685378315198,0.00490819722505117,0.0211528468367598,0.000613966806920374,0.38319,47.2749605628583,1.33940394713659,0.0513226744755404,0.00164256384959611,0.383191253805064,0.0065,0.000206155281280883,134.937831106428,3.91660517076125,141.634077,4.334838,255.348885870826,73.5793139212283,134.496562512859,3.79480672455912,0.952721504824574,47.155504263806,4.72784942395777,19.32,0.6,5.77,0.13,4775.49,136.62,960.066,28.566,20623.41,434.7,19.872,6.21,1037.8125,325.053298687946,"no"
