localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, timedate, notes
6a44c37c839de849a15415d120e52224, Locality 1, ea7c77f827473804c2802faeca2ff1a7, 544503.99713507, 4169830.78123726, 37.67458896, -122.49532888, 10S, 6.66416932, 9.43581977, -1.00000000, Sun Jul 24 14:16:34 2022, Location of sample 1
6a44c37c839de849a15415d120e52224, Locality 1, 1407d5d0fb774f22a032866341479f5c, 544425.56054801, 4170676.32670872, 37.68221370, -122.49616678, 10S, 18.44891679, 15.48223030, -1.00000000, Sun Jul 24 13:45:47 2022, ZZ of Clifton
6a44c37c839de849a15415d120e52224, Locality 1, e1602abb62458fc530864fe73f8ef54c, 544446.29026293, 4170643.03288716, 37.68191262, -122.49593372, 10S, 13.82602666, 10.81378362, -1.00000000, Sun Jul 24 13:15:57 2022, thin organic rich layer
6a44c37c839de849a15415d120e52224, Locality 1, 6d730c860d07b169edf904d453a212f2, 544439.65357665, 4170630.60421348, 37.68180092, -122.49600974, 10S, 8.13647448, 8.12148535, -1.00000000, Sun Jul 24 13:14:05 2022, more pebble beds
6a44c37c839de849a15415d120e52224, Locality 1, 44b7d016cb6cc373a842c81c8afc4201, 544449.79387846, 4170470.54869367, 37.68035784, -122.49590450, 10S, 6.52672213, 6.49285229, -1.00000000, Sun Jul 24 13:04:25 2022, another thin lignitic bed  not as sandy as previous one
6a44c37c839de849a15415d120e52224, Locality 1, bd3af01fb6c966d2453f4b9e2d81862e, 544454.46976269, 4170441.80865847, 37.68009858, -122.49585323, 10S, 7.11079393, 7.91778784, -1.00000000, Sun Jul 24 13:00:05 2022, shell/pebble beds  clasts are almost all Franciscan but did find a granite clast. shell fragments are mostly mollusks with a few echinoids
6a44c37c839de849a15415d120e52224, Locality 1, 21588da6ad7a8ab1ff09e7624e722ce1, 544470.69673815, 4170432.04671658, 37.68000981, -122.49566981, 10S, 10.76695028, 8.78813112, -1.00000000, Sun Jul 24 12:56:50 2022, dune scale cross bedding in medium sand  with pebble and cobble beds (nearshore?)
6a44c37c839de849a15415d120e52224, Locality 1, 3b971e51ee6a68c451c15d9398ebd6ae, 544473.46596907, 4170296.21312152, 37.67878540, -122.49564669, 10S, 3.29949856, 4.78934717, -1.00000000, Sun Jul 24 12:45:14 2022, thin bed of organic rich lignitic sand (backshore?)
6a44c37c839de849a15415d120e52224, Locality 1, b4b2cfdac36a030791038fd34dbc4e53, 544465.06238887, 4170269.85881055, 37.67854827, -122.49574360, 10S, 7.00636673, 6.82847074, -1.00000000, Sun Jul 24 12:39:12 2022, thick shell and pebble beds  some intermixed
6a44c37c839de849a15415d120e52224, Locality 1, 67c5a85b1282deff3712879fb8ee7864, 544478.05723727, 4170153.43111162, 37.67749828, -122.49560334, 10S, 6.57303627, 6.06583975, -1.00000000, Sun Jul 24 12:21:16 2022, more lenticular shell beds
6a44c37c839de849a15415d120e52224, Locality 1, 475b2e383fbed3dbfe8f17fb5f0f07e5, 544507.72332415, 4169855.05782971, 37.67480758, -122.49528514, 10S, 3.28329070, 4.80047281, -1.00000000, Sun Jul 24 12:06:10 2022, stringer to 5cm thick pebble beds and echinoid beds (nearshore facies?) in fine sand 
