tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
MF16-39a	MF16-39		This study	LP-NOMAG		
MF16-39b	MF16-39		This study	LP-NOMAG		
MF16-40a	MF16-40		This study	LP-NOMAG		
MF16-40b	MF16-40		This study	LP-NOMAG		
MF16-41a	MF16-41		This study	LP-NOMAG		
MF16-41b	MF16-41		This study	LP-NOMAG		
MF16-42a	MF16-42		This study	LP-NOMAG		
MF16-43a	MF16-43		This study	LP-NOMAG		
MF16-44a	MF16-44		This study	LP-NOMAG		
MF16-44b	MF16-44		This study	LP-NOMAG		
MF16-45a	MF16-45		This study	LP-NOMAG		
MF16-45b	MF16-45		This study	LP-NOMAG		
MF16-46a	MF16-46		This study	LP-NOMAG		
MF16-46b	MF16-46		This study	LP-NOMAG		
MF16-47a	MF16-47		This study	LP-NOMAG		
MF16-47b	MF16-47		This study	LP-NOMAG		
MF16-48a	MF16-48		This study	LP-NOMAG		
MF16-48b	MF16-48		This study	LP-NOMAG		
MF16-49a	MF16-49		This study	LP-NOMAG		
MF16-49b	MF16-49		This study	LP-NOMAG		
MF16-50a	MF16-50		This study	LP-NOMAG		
MF16-50b	MF16-50		This study	LP-NOMAG		
MF16-51a	MF16-51		This study	LP-NOMAG		
MF16-51b	MF16-51		This study	LP-NOMAG		
MF16-52a	MF16-52		This study	LP-NOMAG		
MF16-52b	MF16-52		This study	LP-NOMAG		
MF16-53a	MF16-53		This study	LP-NOMAG		
MF16-53b	MF16-53		This study	LP-NOMAG		
MF16-54a	MF16-54		This study	LP-NOMAG		
MF16-54b	MF16-54		This study	LP-NOMAG		
MF16-55a	MF16-55		This study	LP-NOMAG		
MF16-55b	MF16-55		This study	LP-NOMAG		
MF16-56a	MF16-56		This study	LP-NOMAG		
MF16-56b	MF16-56		This study	LP-NOMAG		
MF16-57a	MF16-57		This study	LP-NOMAG		
MF16-57b	MF16-57		This study	LP-NOMAG		
MF16-58a	MF16-58		This study	LP-NOMAG		
MF16-58b	MF16-58		This study	LP-NOMAG		
MF16-59a	MF16-59		This study	LP-NOMAG		
MF16-59b	MF16-59		This study	LP-NOMAG		
MF16-60a	MF16-60		This study	LP-NOMAG		
MF16-60b	MF16-60		This study	LP-NOMAG		
MF16-61a	MF16-61		This study	LP-NOMAG		
MF16-61b	MF16-61		This study	LP-NOMAG		
MF16-62a	MF16-62		This study	LP-NOMAG		
MF16-62b	MF16-62		This study	LP-NOMAG		
MF16-63a	MF16-63		This study	LP-NOMAG		
MF16-63b	MF16-63		This study	LP-NOMAG		
MF16-64a	MF16-64		This study	LP-NOMAG		
MF16-64b	MF16-64		This study	LP-NOMAG		
MF16-65a	MF16-65		This study	LP-NOMAG		
MF16-65b	MF16-65		This study	LP-NOMAG		
MF16-66a	MF16-66		This study	LP-NOMAG		
MF16-66b	MF16-66		This study	LP-NOMAG		
MF16-67a	MF16-67		This study	LP-NOMAG		
MF16-67b	MF16-67		This study	LP-NOMAG		
MF16-68a	MF16-68		This study	LP-NOMAG		
MF16-68b	MF16-68		This study	LP-NOMAG		
MF16-69a	MF16-69		This study	LP-NOMAG		
MF16-69b	MF16-69		This study	LP-NOMAG		
MF16-70a	MF16-70		This study	LP-NOMAG		
MF16-70b	MF16-70		This study	LP-NOMAG		
MF16-71a	MF16-71		This study	LP-NOMAG		
MF16-71b	MF16-71		This study	LP-NOMAG		
MF16-72a	MF16-72		This study	LP-NOMAG		
MF16-72b	MF16-72		This study	LP-NOMAG		
MF16-73a	MF16-73		This study	LP-NOMAG		
MF16-73b	MF16-73		This study	LP-NOMAG		
MF8-69b	MF8-69		This study	LP-NOMAG		
MF8-70b	MF8-70		This study	LP-NOMAG		
MF8-71b	MF8-71		This study	LP-NOMAG		
MF8-72b	MF8-72		This study	LP-NOMAG		
MF8-73b	MF8-73		This study	LP-NOMAG		
MF8-74b	MF8-74		This study	LP-NOMAG		
MF8-75b	MF8-75		This study	LP-NOMAG		
MF8-76b	MF8-76		This study	LP-NOMAG		
MF8-77b	MF8-77		This study	LP-NOMAG		
MF8-78b	MF8-78		This study	LP-NOMAG		
