tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
MF13-3	MF13	4.5					   62.9	    0.0	   64.0	  392.0	  -67.0	This study	SO-CMD-NORTH
MF13-4	MF13	6.3					   99.5	    0.0	   64.0	  392.0	  -62.0	This study	SO-CMD-NORTH
MF13-5	MF13	8.9					  113.3	    0.0	   64.0	  392.0	  -44.0	This study	SO-CMD-NORTH
MF13-6	MF13	14					   56.2	    0.0	   64.0	  392.0	  -68.0	This study	SO-CMD-NORTH
MF13-7	MF13	15.4					   85.7	    0.0	   64.0	  392.0	  -61.0	This study	SO-CMD-NORTH
MF13-8	MF13	18.2					  108.2	    0.0	   64.0	  392.0	  -60.0	This study	SO-CMD-NORTH
MF13-9	MF13	21.7					  101.1	    0.0	   64.0	  392.0	  -24.0	This study	SO-CMD-NORTH
MF13-10	MF13	23.9					  121.9	    0.0	   64.0	  392.0	  -32.0	This study	SO-CMD-NORTH
MF14-1	MF14	0					   79.7	    0.0	   67.0	  391.0	  -44.0	This study	SO-CMD-NORTH
MF14-2	MF14	1.8					  123.4	    0.0	   67.0	  391.0	  -44.0	This study	SO-CMD-NORTH
MF14-3	MF14	5.5					  104.9	    0.0	   67.0	  391.0	  -51.0	This study	SO-CMD-NORTH
MF14-4	MF14	7					  119.3	    0.0	   67.0	  391.0	  -28.0	This study	SO-CMD-NORTH
MF15-1	MF15	0					   97.4	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF15-2	MF15	3					  113.1	    0.0	   67.0	  391.0	  -30.0	This study	SO-CMD-NORTH
MF15-3	MF15	6.4					  131.5	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-1	MF16	0					   92.0	    0.0	   67.0	  391.0	  -43.0	This study	SO-CMD-NORTH
MF16-2	MF16	0.05					   85.2	    0.0	   67.0	  391.0	  -42.0	This study	SO-CMD-NORTH
MF16-3	MF16	5.5					   74.9	    0.0	   67.0	  391.0	  -54.0	This study	SO-CMD-NORTH
MF16-4	MF16	9.4					   92.3	    0.0	   67.0	  391.0	  -28.0	This study	SO-CMD-NORTH
MF16-5	MF16	17.8					   68.7	    0.0	   67.0	  391.0	  -37.0	This study	SO-CMD-NORTH
MF16-6	MF16	23.3					  104.3	    0.0	   67.0	  391.0	  -44.0	This study	SO-CMD-NORTH
MF16-7	MF16	36.7					   35.9	    0.0	   67.0	  391.0	  -35.0	This study	SO-CMD-NORTH
MF16-8	MF16	38					  113.5	    0.0	   67.0	  391.0	  -35.0	This study	SO-CMD-NORTH
MF16-9	MF16	50.1					   59.3	    0.0	   67.0	  391.0	  -45.0	This study	SO-CMD-NORTH
MF16-10	MF16	60.9					  103.3	    0.0	   67.0	  391.0	  -42.0	This study	SO-CMD-NORTH
MF16-11	MF16	75.2					   73.7	    0.0	   67.0	  391.0	  -43.0	This study	SO-CMD-NORTH
MF16-12	MF16	82.7					   98.3	    0.0	   67.0	  391.0	  -53.0	This study	SO-CMD-NORTH
MF16-13	MF16	98.5					   80.1	    0.0	   67.0	  391.0	  -43.0	This study	SO-CMD-NORTH
MF16-14	MF16	108.6					  102.8	    0.0	   67.0	  391.0	  -46.0	This study	SO-CMD-NORTH
