tab	sites											
age_high	age_low	age_unit	citations	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site
773	598	ka	This study	Sedimentary	Sediment Layer	739.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-23
773	598	ka	This study	Sedimentary	Sediment Layer	739.74	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-24
773	598	ka	This study	Sedimentary	Sediment Layer	740.86	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-25
773	598	ka	This study	Sedimentary	Sediment Layer	741.26	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-26
773	598	ka	This study	Sedimentary	Sediment Layer	746.72	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-28
773	598	ka	This study	Sedimentary	Sediment Layer	747.17	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-29
773	598	ka	This study	Sedimentary	Sediment Layer	747.51	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-30
773	598	ka	This study	Sedimentary	Sediment Layer	748.06	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-31
773	598	ka	This study	Sedimentary	Sediment Layer	748.56	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-32
773	598	ka	This study	Sedimentary	Sediment Layer	748.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-33
773	598	ka	This study	Sedimentary	Sediment Layer	749.06	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-34
773	598	ka	This study	Sedimentary	Sediment Layer	749.51	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-35
773	598	ka	This study	Sedimentary	Sediment Layer	750.16	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-36
773	598	ka	This study	Sedimentary	Sediment Layer	783.5	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-37
773	598	ka	This study	Sedimentary	Sediment Layer	784.6	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-38
773	598	ka	This study	Sedimentary	Sediment Layer	784.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-39
773	598	ka	This study	Sedimentary	Sediment Layer	785.6	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-40
773	598	ka	This study	Sedimentary	Sediment Layer	786.1	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF:LP-DIR-T	MF16-41
