tab	samples											
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
76.6	0	67	391	This study	-54	Sedimentary	Sediment Layer	784.6	Sandstone	SO-CMD-NORTH	MF16-38	MF16-38
75.5	0	67	391	This study	-51	Sedimentary	Sediment Layer	784.95	Sandstone	SO-CMD-NORTH	MF16-39	MF16-39
73.4	0	67	391	This study	-45	Sedimentary	Sediment Layer	785.6	Sandstone	SO-CMD-NORTH	MF16-40	MF16-40
86.3	0	67	391	This study	-60	Sedimentary	Sediment Layer	786.1	Sandstone	SO-CMD-NORTH	MF16-41	MF16-41
79.1	0	67	391	This study	-31	Sedimentary	Sediment Layer	786.45	Sandstone	SO-CMD-NORTH	MF16-42	MF16-42
46.8	0	67	391	This study	-25	Sedimentary	Sediment Layer	787.65	Sandstone	SO-CMD-NORTH	MF16-43	MF16-43
56.4	0	67	391	This study	-23	Sedimentary	Sediment Layer	789.05	Sandstone	SO-CMD-NORTH	MF16-44	MF16-44
139.9	0	67	391	This study	-35	Sedimentary	Sediment Layer	790.15	Sandstone	SO-CMD-NORTH	MF16-45	MF16-45
98.4	0	67	391	This study	-37	Sedimentary	Sediment Layer	791.25	Sandstone	SO-CMD-NORTH	MF16-46	MF16-46
107	0	67	391	This study	-24	Sedimentary	Sediment Layer	790.9	Sandstone	SO-CMD-NORTH	MF16-47	MF16-47
48.4	0	67	391	This study	-33	Sedimentary	Sediment Layer	791.18	Sandstone	SO-CMD-NORTH	MF16-48	MF16-48
69.2	0	67	391	This study	-23	Sedimentary	Sediment Layer	791.88	Sandstone	SO-CMD-NORTH	MF16-49	MF16-49
77.8	0	67	391	This study	-24	Sedimentary	Sediment Layer	793.38	Sandstone	SO-CMD-NORTH	MF16-50	MF16-50
48.1	0	67	391	This study	-23	Sedimentary	Sediment Layer	794.88	Sandstone	SO-CMD-NORTH	MF16-51	MF16-51
82.9	0	67	391	This study	-32	Sedimentary	Sediment Layer	795.08	Sandstone	SO-CMD-NORTH	MF16-52	MF16-52
86.6	0	67	391	This study	-35	Sedimentary	Sediment Layer	795.2	Sandstone	SO-CMD-NORTH	MF16-53	MF16-53
81.2	0	67	391	This study	-36	Sedimentary	Sediment Layer	795.35	Sandstone	SO-CMD-NORTH	MF16-54	MF16-54
