tab	specimens					
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-6	MF13-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-7	MF13-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-8	MF13-8a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-9	MF13-9a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF13-10	MF13-10a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF14-1	MF14-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF14-2	MF14-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF14-3	MF14-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF14-4	MF14-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF15-1	MF15-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF15-2	MF15-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF15-3	MF15-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-1	MF16-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-2	MF16-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-3	MF16-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-4	MF16-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-5	MF16-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-6	MF16-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-7	MF16-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-8	MF16-8a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-9	MF16-9a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-10	MF16-10a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-11	MF16-11a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-12	MF16-12a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-13	MF16-13a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-14	MF16-14a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-15	MF16-15a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-16	MF16-16a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-17	MF16-17a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-18	MF16-18a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-19	MF16-19a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-20	MF16-20a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-21	MF16-21a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-21	MF16-21b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-22	MF16-22a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-22	MF16-22b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-23	MF16-23a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-23	MF16-23b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-24	MF16-24a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-24	MF16-24b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-25	MF16-25a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-25	MF16-25b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-26	MF16-26a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-26	MF16-26b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-28	MF16-28a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-28	MF16-28b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-29	MF16-29a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-29	MF16-29b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-30	MF16-30a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-30	MF16-30b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-31	MF16-31a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-31	MF16-31b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-32	MF16-32a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-32	MF16-32b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-33	MF16-33a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-34	MF16-34a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-34	MF16-34b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-35	MF16-35a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-35	MF16-35b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-36	MF16-36a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-36	MF16-36b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-37	MF16-37a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-37	MF16-37b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-38	MF16-38a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-38	MF16-38b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-39	MF16-39a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-39	MF16-39b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-40	MF16-40a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-40	MF16-40b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-41	MF16-41a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-41	MF16-41b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-42	MF16-42a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-43	MF16-43a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-44	MF16-44a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-44	MF16-44b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-45	MF16-45a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-45	MF16-45b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-46	MF16-46a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-46	MF16-46b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-47	MF16-47a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-47	MF16-47b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-48	MF16-48a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-48	MF16-48b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-49	MF16-49a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-49	MF16-49b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-50	MF16-50a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-50	MF16-50b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-51	MF16-51a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-51	MF16-51b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-52	MF16-52a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-52	MF16-52b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-53	MF16-53a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-53	MF16-53b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-54	MF16-54a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-54	MF16-54b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-55	MF16-55a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-55	MF16-55b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-56	MF16-56a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-56	MF16-56b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-57	MF16-57a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-57	MF16-57b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-58	MF16-58a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-58	MF16-58b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-59	MF16-59a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-59	MF16-59b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-60	MF16-60a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-60	MF16-60b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-61	MF16-61a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-61	MF16-61b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-62	MF16-62a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-62	MF16-62b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-63	MF16-63a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-63	MF16-63b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-64	MF16-64a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-64	MF16-64b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-65	MF16-65a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-65	MF16-65b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-66	MF16-66a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-66	MF16-66b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-67	MF16-67a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-67	MF16-67b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-68	MF16-68a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-68	MF16-68b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-69	MF16-69a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-69	MF16-69b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-70	MF16-70a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-70	MF16-70b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-71	MF16-71a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-71	MF16-71b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-72	MF16-72a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-72	MF16-72b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-73	MF16-73a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF16-73	MF16-73b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-69	MF8-69b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-70	MF8-70b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-71	MF8-71b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-72	MF8-72b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-73	MF8-73b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-74	MF8-74b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-75	MF8-75b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-76	MF8-76b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-77	MF8-77b
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-78	MF8-78b
