source,hornblende,oxy-hornblende,enstatite,hypersthene,augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,cummingtonite,height (ft),sample
Great Valley,19,3,0,10,6,11,7,0,0,0,10,9,1,0,0,18,6,0,0,0,NA,670-GV-20
Great Valley,28,2,0,10,5,17,12,0,0,0,1,1,2,0,0,14,1,0,7,0,NA,670-GV-19
Great Valley,52,1,0,7,2,22,11,0,0,0,0,0,0,0,0,4,1,0,0,0,NA,670-GV-22
Great Valley,73,3,0,5,8,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,670-GV-25
Great Valley,60,0,2,8,4,17,3,0,0,0,1,2,2,0,1,0,0,0,0,0,NA,670-GV-24
Great Valley,22,1,3,26,29,9,2,1,4,0,1,0,1,0,1,0,0,0,0,0,NA,670-GV-27
Great Valley,26,2,1,27,24,10,6,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,670-GV-26
Great Valley,27,2,1,29,21,11,6,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,670-GV-28
Great Valley,22,2,3,30,19,15,4,1,1,0,0,0,1,0,1,1,0,0,0,0,NA,670-GV-29
Great Valley,10,0,0,1,3,22,11,4,0,0,1,2,8,0,1,0,0,0,37,0,NA,670-GV-30
Great Valley,14,0,0,14,12,38,14,3,0,0,0,2,1,0,0,0,0,0,2,0,NA,670-GV-16
Great Valley,14,0,0,12,24,20,18,2,1,0,3,1,2,0,2,0,0,0,1,0,NA,670-GV-17
Great Valley,55,1,0,15,18,5,0,0,0,0,2,0,2,0,0,0,0,0,2,0,NA,670-GV-32
Great Valley,55,1,1,14,9,13,3,0,1,0,0,0,2,0,0,1,0,0,0,0,NA,670-GV-33
Great Valley,37,2,0,29,17,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,670-GV-34
