"source","hornblende","oxy.hornblende","enstatite","hypersthene","augite","epidote..clinozoisite","tremolite.actinolite","glaucophane","lawsonite","pumpellyite","sphene","zircon","garnet","rutile","apatite","tourmaline","andalusite","glauconite","carbonate","cummingtonite","height..ft.","sample","strat.pos","pc1","pc2","X","Y","X.1"
"Great Valley",68,0,0,2,4,5,1,0,0,0,13,4,3,0,0,0,0,0,0,0,NA,"670-GV-1",NA,-2.13540221636366,5.1016784755377,-121.203135342476,37.6302908241453,NA
"Great Valley",72,0,0,2,2,10,8,0,0,0,5,0,1,0,0,0,0,0,0,0,NA,"670-GV-2",NA,-3.13924836558386,2.19330235349557,-121.203135342476,37.6302908241453,NA
"Great Valley",89,1,0,0,0,4,1,0,0,0,4,1,0,0,0,0,0,0,0,0,NA,"670-GV-18",NA,0.964192170339028,4.86405289242273,-119.728887538089,36.9777961765162,NA
"Great Valley",91,0,0,0,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"670-GV-36",NA,-0.21303193847061,1.41175328984673,-120.063415530127,37.1679489298855,NA
"Great Valley",70,1,0,3,2,12,2,0,0,0,9,0,1,0,0,0,0,0,0,0,NA,"670-GV-37",NA,-4.08007961790507,1.94292278596383,-120.957177487804,37.3538650623029,NA
"Great Valley",72,3,0,1,3,13,4,0,0,0,2,1,0,0,0,1,0,0,0,0,NA,"670-GV-3",NA,-4.15793702901453,2.94114191638557,-120.758221366223,37.6302908241453,NA
"Great Valley",76,3,0,2,3,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"670-GV-4",NA,-4.92991696191914,-0.0282993612357905,-120.758221366223,37.6302908241453,NA
"Great Valley",50,4,0,5,9,4,1,0,0,0,3,0,0,0,1,0,0,0,23,0,NA,"670-GV-5",NA,-5.71273197708794,3.16299047803313,-120.854178079729,37.7737857259934,NA
"Great Valley",51,5,0,1,8,8,7,0,0,0,2,1,0,0,2,0,0,0,15,0,NA,"670-GV-6",NA,-4.06036624282167,5.13709996321664,-120.854178079729,37.7737857259934,NA
"Great Valley",57,4,0,5,15,10,5,0,0,0,1,0,1,0,0,1,1,0,0,0,NA,"670-GV-7",NA,-6.44715224519041,2.10677101763207,-121.036407801708,38.0528524982992,NA
"Great Valley",50,2,0,2,7,24,14,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"670-GV-8",NA,-5.12475523207411,-0.351571212819108,-121.036407801708,38.0528524982992,NA
"Great Valley",71,3,0,3,2,11,6,0,0,0,1,0,1,0,2,0,0,0,0,0,NA,"670-GV-9",NA,-3.78860954965744,2.05142926288092,-121.090108347798,38.2051507683588,NA
"Great Valley",64,1,0,1,8,9,15,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,"670-GV-10",NA,-4.0572658628441,1.18953153758292,-121.090108347798,38.2051507683588,NA
"Great Valley",74,0,0,1,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"670-GV-11",NA,-4.28690138532904,-0.66758388326768,-120.957177487804,38.5220720239742,NA
"Great Valley",74,4,0,5,5,7,3,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,"670-GV-14",NA,-6.04210852939084,0.429390160257732,-120.909815366826,38.8007866615516,NA
"Great Valley",71,3,0,1,0,16,8,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"670-GV-15",NA,-2.93335712783005,1.58973545619506,-120.909815366826,38.8007866615516,NA
"Great Valley",39,3,0,12,18,20,4,0,0,0,0,0,3,0,0,0,0,0,1,0,NA,"670-GV-12",NA,-6.64904436715349,1.56214593163061,-121.045739372012,38.9000886549777,NA
"Great Valley",47,2,0,8,9,26,5,0,0,0,1,0,1,0,0,0,0,0,1,0,NA,"670-GV-13",NA,-5.86610107365588,2.4811088425976,-121.045739372012,38.9000886549777,NA
"Great Valley",19,3,0,10,6,11,7,0,0,0,10,9,1,0,0,18,6,0,0,0,NA,"670-GV-20",NA,-5.69840751729405,6.2023930124122,-121.407029603413,38.9965735705762,NA
"Great Valley",28,2,0,10,5,17,12,0,0,0,1,1,2,0,0,14,1,0,7,0,NA,"670-GV-19",NA,-6.45570700759577,7.25920993683631,-121.407029603413,38.9965735705762,NA
"Great Valley",52,1,0,7,2,22,11,0,0,0,0,0,0,0,0,4,1,0,0,0,NA,"670-GV-22",NA,-7.01342222064518,0.575222396960346,-121.342941082833,39.2177141800501,NA
"Great Valley",73,3,0,5,8,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,"670-GV-25",NA,-4.88099231518333,1.07873801499159,-121.629842852847,39.3620371487206,NA
"Great Valley",60,0,2,8,4,17,3,0,0,0,1,2,2,0,1,0,0,0,0,0,NA,"670-GV-24",NA,-1.93837415454273,2.7753344687462,-121.629842852847,39.3620371487206,NA
"Great Valley",22,1,3,26,29,9,2,1,4,0,1,0,1,0,1,0,0,0,0,0,NA,"670-GV-27",NA,-1.16106037823006,-3.76871129044969,-121.989680528494,39.4599746200739,NA
"Great Valley",26,2,1,27,24,10,6,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,"670-GV-26",NA,-3.03171079883613,-6.24161719301645,-121.989680528494,39.4599746200739,NA
"Great Valley",27,2,1,29,21,11,6,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,"670-GV-28",NA,-3.06215182900032,-4.92966545707113,-121.990780949521,39.2046769419393,NA
"Great Valley",22,2,3,30,19,15,4,1,1,0,0,0,1,0,1,1,0,0,0,0,NA,"670-GV-29",NA,-2.46746979918135,-3.30733601910265,-121.990780949521,39.2046769419393,NA
"Great Valley",10,0,0,1,3,22,11,4,0,0,1,2,8,0,1,0,0,0,37,0,NA,"670-GV-30",NA,0.612357089710258,7.75875063663571,-122.195459260439,38.8371363191075,NA
"Great Valley",14,0,0,14,12,38,14,3,0,0,0,2,1,0,0,0,0,0,2,0,NA,"670-GV-16",NA,-2.63960012618613,3.62655361851554,-122.039199474684,38.492704537831,NA
"Great Valley",14,0,0,12,24,20,18,2,1,0,3,1,2,0,2,0,0,0,1,0,NA,"670-GV-17",NA,-0.364605693477831,3.14844283890231,-122.039199474684,38.492704537831,NA
"Great Valley",55,1,0,15,18,5,0,0,0,0,2,0,2,0,0,0,0,0,2,0,NA,"670-GV-32",NA,-6.00701734642535,3.18160828173899,-121.581891433484,38.3223109329499,NA
"Great Valley",55,1,1,14,9,13,3,0,1,0,0,0,2,0,0,1,0,0,0,0,NA,"670-GV-33",NA,-4.41505599722651,-2.51453124432382,-121.613583559046,38.1644371963563,NA
"Great Valley",37,2,0,29,17,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"670-GV-34",NA,-6.7160992743292,-0.69156366165778,-121.684597395952,38.1485911335755,NA
